# longShortRatio,timestamp,symbol
1.2967,1653239400000,BTCUSDT
1.2894,1653239700000,BTCUSDT
1.2894,1653240000000,BTCUSDT
1.2946,1653240300000,BTCUSDT
1.2784,1653240600000,BTCUSDT
1.2650,1653240900000,BTCUSDT
1.2558,1653241200000,BTCUSDT
1.2528,1653241500000,BTCUSDT
1.2502,1653241800000,BTCUSDT
1.2482,1653242100000,BTCUSDT
1.2543,1653242400000,BTCUSDT
1.2492,1653242700000,BTCUSDT
1.2548,1653243000000,BTCUSDT
1.2573,1653243300000,BTCUSDT
1.2548,1653243600000,BTCUSDT
1.2584,1653243900000,BTCUSDT
1.2624,1653244200000,BTCUSDT
1.2743,1653244500000,BTCUSDT
1.2727,1653244800000,BTCUSDT
1.2707,1653245100000,BTCUSDT
1.2732,1653245400000,BTCUSDT
1.2738,1653245700000,BTCUSDT
1.2753,1653246000000,BTCUSDT
1.2727,1653246300000,BTCUSDT
1.2640,1653246600000,BTCUSDT
1.2578,1653246900000,BTCUSDT
1.2533,1653247200000,BTCUSDT
1.2512,1653247500000,BTCUSDT
1.2462,1653247800000,BTCUSDT
1.2462,1653248100000,BTCUSDT
1.2472,1653248400000,BTCUSDT
1.2482,1653248700000,BTCUSDT
1.2492,1653249000000,BTCUSDT
1.2512,1653249300000,BTCUSDT
1.2543,1653249600000,BTCUSDT
1.2528,1653249900000,BTCUSDT
1.2497,1653250200000,BTCUSDT
1.2528,1653250500000,BTCUSDT
1.2594,1653250800000,BTCUSDT
1.2584,1653251100000,BTCUSDT
1.2573,1653251400000,BTCUSDT
1.2517,1653251700000,BTCUSDT
1.2487,1653252000000,BTCUSDT
1.2452,1653252300000,BTCUSDT
1.2447,1653252600000,BTCUSDT
1.2457,1653252900000,BTCUSDT
1.2487,1653253200000,BTCUSDT
1.2528,1653253500000,BTCUSDT
1.2604,1653253800000,BTCUSDT
1.2660,1653254100000,BTCUSDT
1.2712,1653254400000,BTCUSDT
1.2712,1653254700000,BTCUSDT
1.2655,1653255000000,BTCUSDT
1.2635,1653255300000,BTCUSDT
1.2604,1653255600000,BTCUSDT
1.2563,1653255900000,BTCUSDT
1.2528,1653256200000,BTCUSDT
1.2523,1653256500000,BTCUSDT
1.2528,1653256800000,BTCUSDT
1.2779,1653257100000,BTCUSDT
1.2732,1653257400000,BTCUSDT
1.2701,1653257700000,BTCUSDT
1.2645,1653258000000,BTCUSDT
1.3031,1653258300000,BTCUSDT
1.2989,1653258600000,BTCUSDT
1.3004,1653258900000,BTCUSDT
1.2894,1653259200000,BTCUSDT
1.2836,1653259500000,BTCUSDT
1.2748,1653259800000,BTCUSDT
1.2722,1653260100000,BTCUSDT
1.2635,1653260400000,BTCUSDT
1.2604,1653260700000,BTCUSDT
1.2599,1653261000000,BTCUSDT
1.2517,1653261300000,BTCUSDT
1.2447,1653261600000,BTCUSDT
1.2396,1653261900000,BTCUSDT
1.2442,1653262200000,BTCUSDT
1.2326,1653262500000,BTCUSDT
1.2277,1653262800000,BTCUSDT
1.2207,1653263100000,BTCUSDT
1.2153,1653263400000,BTCUSDT
1.2119,1653263700000,BTCUSDT
1.1997,1653264000000,BTCUSDT
1.1810,1653264300000,BTCUSDT
1.1925,1653264600000,BTCUSDT
1.1920,1653264900000,BTCUSDT
1.1944,1653265200000,BTCUSDT
1.1939,1653265500000,BTCUSDT
1.1911,1653265800000,BTCUSDT
1.1906,1653266100000,BTCUSDT
1.1944,1653266400000,BTCUSDT
1.1930,1653266700000,BTCUSDT
1.1901,1653267000000,BTCUSDT
1.1872,1653267300000,BTCUSDT
1.1848,1653267600000,BTCUSDT
1.1772,1653267900000,BTCUSDT
1.1730,1653268200000,BTCUSDT
1.1697,1653268500000,BTCUSDT
1.1645,1653268800000,BTCUSDT
1.1636,1653269100000,BTCUSDT
1.1636,1653269400000,BTCUSDT
1.1631,1653269700000,BTCUSDT
1.1622,1653270000000,BTCUSDT
1.1561,1653270300000,BTCUSDT
1.1547,1653270600000,BTCUSDT
1.1533,1653270900000,BTCUSDT
1.1501,1653271200000,BTCUSDT
1.1418,1653271500000,BTCUSDT
1.1331,1653271800000,BTCUSDT
1.1281,1653272100000,BTCUSDT
1.1277,1653272400000,BTCUSDT
1.1331,1653272700000,BTCUSDT
1.1336,1653273000000,BTCUSDT
1.1317,1653273300000,BTCUSDT
1.1336,1653273600000,BTCUSDT
1.1345,1653273900000,BTCUSDT
1.1404,1653274200000,BTCUSDT
1.1441,1653274500000,BTCUSDT
1.1501,1653274800000,BTCUSDT
1.1608,1653275100000,BTCUSDT
1.1706,1653275400000,BTCUSDT
1.1725,1653275700000,BTCUSDT
1.1697,1653276000000,BTCUSDT
1.1683,1653276300000,BTCUSDT
1.1631,1653276600000,BTCUSDT
1.1654,1653276900000,BTCUSDT
1.1650,1653277200000,BTCUSDT
1.1640,1653277500000,BTCUSDT
1.1645,1653277800000,BTCUSDT
1.1692,1653278100000,BTCUSDT
1.1687,1653278400000,BTCUSDT
1.1768,1653278700000,BTCUSDT
1.1825,1653279000000,BTCUSDT
1.1867,1653279300000,BTCUSDT
1.1882,1653279600000,BTCUSDT
1.1887,1653279900000,BTCUSDT
1.1872,1653280200000,BTCUSDT
1.1891,1653280500000,BTCUSDT
1.1867,1653280800000,BTCUSDT
1.1810,1653281100000,BTCUSDT
1.1805,1653281400000,BTCUSDT
1.1730,1653281700000,BTCUSDT
1.1706,1653282000000,BTCUSDT
1.1720,1653282300000,BTCUSDT
1.1725,1653282600000,BTCUSDT
